x,y,z,label,module
31.1233,-61.2877,-13.4795,A37mv_r,FuG
-42.3356,-50.5424,-17.5424,A37lv_l,FuG
42.6304,-49.1907,-18.5486,A37lv_r,FuG
-27.6,-7.08,-33.6,A35/36r_l,PhG
27.6429,-8.0714,-33.3571,A35/36r_r,PhG
-25.8511,-23.8085,-27,A35/36c_l,PhG
27,-22.4082,-27.4898,A35/36c_r,PhG
-28.26,-32.58,-16.86,TL_l,PhG
28.9737,-30.3158,-17.7632,TL_r,PhG
-18.4444,-10.6667,-30.2778,A28/34_l,PhG
18.3243,-9.3243,-29.6757,A28/34_r,PhG
-23.4231,1.8462,-32.4231,TI_l,PhG
21.6563,0.65625,-36,TI_r,PhG
-17.1628,-38.7907,-10.8837,TH_l,PhG
18.1277,-35.7447,-11.234,TH_r,PhG
-54.375,-39.8304,4.2321,rpSTS_l,pSTS
52.8716,-36.8257,2.8899,rpSTS_r,pSTS
-52.4712,-50.2788,10.6442,cpSTS_l,pSTS
56.3333,-39.9259,12.4074,cpSTS_r,pSTS
-16.1455,-60.4636,62.6727,A7r_l,SPL
19.3571,-56.875,65.1964,A7r_r,SPL
-15.2932,-70.7594,50.9774,A7c_l,SPL
18.6081,-68.8581,53.5135,A7c_r,SPL
-33.1103,-46.7868,49.7647,A5l_l,SPL
34.9811,-41.9434,53.6887,A5l_r,SPL
-22.7613,-47.6516,64.7419,A7pc_l,SPL
22.9048,-43.5714,67.2857,A7pc_r,SPL
-27.5038,-58.6031,53.6565,A7ip_l,SPL
30.9712,-53.5899,53.5036,A7ip_r,SPL
-34.1589,-80.1589,28.0841,A39c_l,IPL
45.338,-71.6028,20.3831,A39c_r,IPL
-37.6109,-61.3191,46.4708,A39rd_l,IPL
39.6495,-64.9897,43.9175,A39rd_r,IPL
-51.2979,-33.2569,41.4658,A40rd_l,IPL
46.9796,-35.2449,45.3265,A40rd_r,IPL
-55.5584,-49.1493,37.8604,A40c_l,IPL
57.1185,-43.8237,38.6717,A40c_r,IPL
-46.8587,-64.637,25.6761,A39rv_l,IPL
53.0455,-54.1667,24.4318,A39rv_r,IPL
-53.2548,-31.1083,22.5573,A40rv_l,IPL
55.0924,-26.3478,25.3451,A40rv_r,IPL
-4.3148,-63.9444,50.537,A7m_l,PCu
6.5656,-64.8197,51.3197,A7m_r,PCu
-8.375,-47.2857,57.4821,A5m_l,PCu
7.5606,-46.7121,58.3788,A5m_r,PCu
-12.1093,-66.668,25.6761,dmPOS_l,PCu
16.2829,-63.6118,24.9079,dmPOS_r,PCu
-6.1493,-55.4796,33.3258,A31_l,PCu
6.0913,-54.4905,34.7681,A31_r,PCu
-50.2755,-15.7698,42.0906,A1/2/3ulhf_l,PoG
49.8935,-14.3384,43.6882,A1/2/3ulhf_r,PoG
-55.8857,-13.9371,16.2686,A1/2/3tonIa_l,PoG
54.918,-10.2295,14.9836,A1/2/3tonIa_r,PoG
-45.7195,-30.0271,49.9683,A2_l,PoG
47.3839,-24.5893,48.0268,A2_r,PoG
-21.2647,-34.3529,68.6029,A1/2/3tru_l,PoG
20.1279,-32.6686,69.0698,A1/2/3tru_r,PoG
-36.3673,-20.1429,9.7959,G_l,INS
37.1053,-17.8026,7.8158,G_r,INS
-32.2174,14.087,-13.2609,vIa_l,INS
33.1034,14.6379,-12.6207,vIa_r,INS
-33.875,18.0833,1.5417,dIa_l,INS
