x,y,z,size,r,g,b,label
-11.848,-17.564,7.9761,1.3638,0.79608,0.4,0,Thalamus_L
11.998,-17.552,8.0868,1.3166,0,0.79608,0.79608,Thalamus_R
-42.992,-18.875,9.9784,0.2828,0,0.79608,0.79608,Heschl_L
44.857,-17.147,10.406,0.30349,0.50196,0.4,0,Heschl_R
-54.156,-20.678,7.1348,2.8698,0.50196,0.4,0,Temporal_Sup_L
57.146,-21.781,6.8014,3.9594,0.79608,0.20784,0,Temporal_Sup_R
-40.879,15.144,-20.183,1.6033,0.79608,0.20784,0,Temporal_Pole_Sup_L
47.247,14.745,-16.863,1.6701,0.74902,0.090196,0.090196,Temporal_Pole_Sup_R
-56.524,-33.8,-2.201,6.169,0.74902,0.090196,0.090196,Temporal_Mid_L
56.473,-37.228,-1.4681,5.5625,0,0.78431,0.79608,Temporal_Mid_R
-37.32,14.587,-34.081,0.93805,0,0.78431,0.79608,Temporal_Pole_Mid_L
43.22,14.552,-32.233,1.4845,0.42353,0,0.63529,Temporal_Pole_Mid_R
-50.771,-28.052,-23.168,4.0204,0.42353,0,0.63529,Temporal_Inf_L
52.692,-31.069,-22.319,4.4626,0,0.78431,0,Temporal_Inf_R
-36.067,-66.72,-28.934,3.2398,0,0.78431,0,Cerebelum_Crus1_L
37.456,-67.137,-29.547,3.2946,0.52549,0.20784,0,Cerebelum_Crus1_R
-28.636,-73.26,-38.204,2.3853,0.52549,0.20784,0,Cerebelum_Crus2_L
32.057,-69.016,-39.949,2.6709,0.4,0.4,0.4,Cerebelum_Crus2_R
-8.8004,-37.223,-18.581,0.16805,0.4,0.4,0.4,Cerebelum_3_L
12.319,-34.466,-19.391,0.25082,0.031373,0.031373,0.031373,Cerebelum_3_R
-15.004,-43.486,-16.933,1.4162,0.031373,0.031373,0.031373,Cerebelum_4_5_L
17.199,-42.861,-18.151,1.0602,0.79608,0.58431,0.58431,Cerebelum_4_5_R
-23.238,-59.101,-22.131,2.1432,0.79608,0.58431,0.58431,Cerebelum_6_L
24.691,-58.316,-23.645,2.2514,0.23922,0.23922,0.79608,Cerebelum_6_R
-32.358,-59.82,-45.449,0.72721,0.23922,0.23922,0.79608,Cerebelum_7b_L
33.139,-63.178,-48.457,0.66309,0,0.79608,0,Cerebelum_7b_R
-25.751,-54.519,-47.685,2.3655,0,0.79608,0,Cerebelum_8_L
25.064,-56.34,-49.468,2.8758,0.63529,0,0.21176,Cerebelum_8_R
-10.947,-48.95,-45.903,1.0854,0.63529,0,0.21176,Cerebelum_9_L
9.4602,-49.5,-46.327,1.013,0.63529,0.21176,0.05098,Cerebelum_9_R
-22.614,-33.8,-41.765,0.18325,0.63529,0.21176,0.05098,Cerebelum_10_L
25.995,-33.838,-41.347,0.20065,0,0.36863,0.36078,Cerebelum_10_R
0.75743,-38.792,-20.05,0.063331,0,0.36863,0.36078,Vermis_1_2
1.3804,-39.931,-11.398,0.28562,0.79608,0.79608,0.011765,Vermis_3
1.2207,-52.362,-6.1138,0.83459,0.79608,0.79608,0.011765,Vermis_4_5
1.1414,-67.059,-15.123,0.46338,0.63529,0,0.21961,Vermis_6
1.1458,-71.93,-25.141,0.24517,0.63529,0.31765,0.79608,Vermis_7
1.1521,-64.429,-34.08,0.30411,0,0,0,Vermis_8
0.86467,-54.875,-34.896,0.21429,0,0,0,Vermis_9
0.35584,-45.8,-31.683,0.13701,0,0,0,Vermis_10
