x,y,z,size,module,r,g,b
-37.359,-78.293,-7.8443,1.1813,1,0.59608,0.27059,0.18431
37.159,-81.993,-7.6132,1.243,1,0.36863,0.27059,0.21176
-32.159,-40.298,-20.228,2.8739,1,0.36863,0.27059,0.21176
32.968,-39.102,-20.178,3.1708,1,0.14902,0,0.32549
-43.462,-22.631,48.917,4.8679,1,0.14902,0,0.32549
40.428,-25.493,52.545,4.805,1,0.31765,0,0.6902
-24.454,-59.557,58.96,2.5895,1,0.31765,0,0.6902
25.106,-59.18,62.062,2.7518,1,0.29804,0.18431,0.49804
-43.804,-45.82,46.741,3.0485,1,0.29804,0.18431,0.49804
45.462,-46.29,49.535,1.6872,1,0,0.52941,0.79608
-56.788,-33.638,30.449,1.553,1,0,0.52941,0.79608
56.611,-31.505,34.48,2.4721,1,0,0,0
-45.141,-60.816,35.587,1.4599,1,0,0,0
44.508,-59.985,38.628,2.1961,1,0.36863,0.066667,0.29804
-8.2408,-56.071,48.009,4.4454,1,0.36863,0.066667,0.29804
8.9796,-56.049,43.769,4.0888,1,0.36863,0.05098,0.05098
-8.6301,-25.365,70.07,1.6971,1,0.36863,0.05098,0.05098
6.4771,-31.587,68.094,1.0492,1,0.36863,0,0.10196
-12.462,10.996,9.2391,1.2042,1,0.36863,0,0.10196
13.836,12.074,9.4152,1.2448,1,0.47843,0.79608,0.26275
-24.914,3.8553,2.4013,1.245,1,0.47843,0.79608,0.26275
26.779,4.9129,2.4647,1.334,1,0.28235,0.28235,0.78431
-18.75,-0.03151,0.2105,0.3582,1,0.28235,0.28235,0.78431
20.201,0.1755,0.22806,0.34299,1,0.79608,0.4,0
-11.848,-17.564,7.9761,1.3638,1,0.79608,0.4,0
11.998,-17.552,8.0868,1.3166,1,0,0.79608,0.79608
-42.992,-18.875,9.9784,0.2828,1,0,0.79608,0.79608
44.857,-17.147,10.406,0.30349,1,0.50196,0.4,0
-54.156,-20.678,7.1348,2.8698,1,0.50196,0.4,0
57.146,-21.781,6.8014,3.9594,1,0.79608,0.20784,0
-40.879,15.144,-20.183,1.6033,1,0.79608,0.20784,0
47.247,14.745,-16.863,1.6701,1,0.74902,0.090196,0.090196
-56.524,-33.8,-2.201,6.169,1,0.74902,0.090196,0.090196
56.473,-37.228,-1.4681,5.5625,1,0,0.78431,0.79608
-37.32,14.587,-34.081,0.93805,1,0,0.78431,0.79608
43.22,14.552,-32.233,1.4845,1,0.42353,0,0.63529
-50.771,-28.052,-23.168,4.0204,1,0.42353,0,0.63529
52.692,-31.069,-22.319,4.4626,1,0,0.78431,0
-36.067,-66.72,-28.934,3.2398,1,0,0.78431,0
37.456,-67.137,-29.547,3.2946,1,0.52549,0.20784,0
